ID,Gender,Race,Age_at_Release,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years
9345,1,0,50,0,6,1,2,3,2,1,4,1,2,2,1,0,1,0,0,5,1,0,28.33333333,0,0,0,0,1,2,0,0
23386,1,0,27,1,10,1,2,0,1,1,2,1,0,3,0,0,1,0,4,0,0,0,,,,,,0.896341463,1,0,1
25971,1,0,30,0,10,0,2,0,1,1,3,2,0,1,3,0,0,1,0,6,0,0,7.88,0,0,0,0,0,0,0,1
15499,1,0,45,1,8,2,0,1,2,1,5,0,3,0,0,1,1,0,0,0,0,0,,,,,,0,0,0,1
17084,1,0,55,0,1,0,0,2,2,1,5,3,0,3,2,1,1,1,1,5,3,1,10.42222222,0.06666667,0.06666667,0,0,1,0.778784648,0,1
18017,1,0,36,1,10,1,0,2,2,1,4,2,2,2,0,1,1,0,4,1,0,1,10.07142857,0.214285716,0,0,0,0,0,0,1
19240,1,0,58,0,10,1,0,0,2,1,3,2,1,0,3,2,0,2,0,10,3,0,82.85714286,0.142857149,0,0.071428575,0.071428575,0,0,0,1
19971,1,0,22,1,9,1,0,0,2,1,4,1,2,1,0,1,2,0,0,7,1,3,84.5,0,0,0,0,0.627218935,1,0,1
24636,1,0,35,0,7,0,0,3,2,1,4,1,2,1,0,1,0,0,0,1,0,0,63.8,0,0,0,0,1,1,1,1
25080,1,0,62,0,10,1,0,2,1,1,3,0,0,2,0,1,1,0,4,6,0,0,10.08333333,0.06666667,0,0,0.016666668,1,3.018595041,0,1
19136,1,0,22,1,10,1,1,0,1,1,5,0,0,3,0,1,1,0,1,2,1,0,80.33333333,0.333333343,0,0,0,0,0,0,1
19668,1,0,38,1,10,1,1,0,2,1,5,2,3,4,0,1,2,0,0,0,0,0,,,,,,0,0,0,1
20170,1,1,52,0,7,1,1,0,1,1,1,2,0,3,0,0,2,0,0,2,0,1,,,,,,0,0,0,1
23323,1,0,33,0,6,2,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,61.33333333,0.333333343,0,0,0,0,0,0,0
24568,1,0,47,1,9,1,1,0,0,1,3,1,1,0,3,0,0,2,0,0,0,0,43.28,0.079999998,0,0,0,1,1.012707948,0,0
24758,1,1,73,0,10,1,1,3,1,1,1,0,0,1,0,0,1,0,2,0,0,0,47.11111111,0,0,0,0.111111112,1,1.722877358,0,0
